"asset_id","filename","relative_path","category","format","dimensions","original_source","source_url","post_date_or_signal","source_context","people_shown","residential_or_commercial","service_work_shown","location","approximate_quality","possible_future_website_use","notes","duplicate_or_source_relationships","sha256"
"GB-RES-HP-001","62f7444437590a68.webp","04-residential-work/mini-splits-heat-pumps/62f7444437590a68.webp","heat pump installation","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Outdoor heat-pump/condenser on raised platform with insulated lines and service equipment","None","Residential","Heat-pump installation / commissioning","Exact site unknown","Good displayed source; 765x1020","Heat-pump service page; installation proof","No mini-split indoor head is shown; classified as conventional heat-pump/outdoor-unit imagery.","No exact duplicate found","D25A2B77CC2F6A8CF97382F456B01BCC09A4965FA2A8287489BF59EA4DBD2D1B"
"GB-RES-REP-001","bbfe7ec814ef586f.webp","04-residential-work/repairs/bbfe7ec814ef586f.webp","residential repair","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Bryant outdoor condenser under active diagnostics/charging with gauges and tools","None","Residential","AC diagnostics / repair / commissioning","Exact site unknown","Good displayed source; 765x1020","AC repair page; diagnostics/process section","Source file preserved without extension as delivered.","Possibly same job as GB-RES-INS-003 (similar Bryant unit/brick wall); before-after relationship not verified","FB9656E273171CF7AFA3976FF2B4AC3262C0B7FFBB2CD937AD22D631891406F9"
"GB-RES-REP-002","d12c6e5142647c3d.webp","04-residential-work/repairs/d12c6e5142647c3d.webp","residential repair","WebP","1044x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Technician servicing residential package unit with gauges and recovery/service equipment","Technician, unidentified","Residential","Package-unit repair / refrigerant service","Exact site unknown","Good; near-square 1044x1020","AC repair page; technician-at-work; service process","Source file preserved without extension as delivered.","No exact duplicate found","591DEE8A7AA80E7BBE695F3549CF42CF3014E622C856699FD5B17A2D2E02D090"
"GB-RES-INS-002","b56c4cb43215e119.webp","04-residential-work/installations/b56c4cb43215e119.webp","residential installation","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Closer view of Bryant indoor air-handler/furnace installation","None","Residential","Air-handler/furnace installation","Exact site unknown","Good displayed source; 765x1020","Installation detail; equipment feature; case study","Source file preserved without extension as delivered.","Same equipment/install set as GB-RES-INS-001; different framing, not duplicate","B3A7738612B7D2E36461499D7D17FEC338615340C8F9D8EFA44591E2F9980635"
"GB-RES-MNT-001","ce82c16e8c07bb84.webp","04-residential-work/maintenance/ce82c16e8c07bb84.webp","residential maintenance","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Foam-brush cleaning of an outdoor condenser cabinet","None","Residential","Condenser cleaning / maintenance","Exact site unknown","Good displayed source; 765x1020","Maintenance page; close process shot","Source file preserved without extension as delivered.","Related maintenance/dirty-coil set: GB-RES-MNT-002 and GB-EQP-003; exact job linkage visually plausible, not confirmed","08482C2EDA55B09351A97C24EF4BA7B03FB1E95D4280D658A79BD229A9F43CDA"
"GB-EQP-001","dec800aa8f73a7c6.webp","06-equipment-closeups/dec800aa8f73a7c6.webp","equipment close-up","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Frozen indoor evaporator/line set and condensate/water condition","None","Residential","Frozen coil / no-cooling diagnosis","Exact site unknown","Good displayed source; 765x1020","Repair education; frozen-coil explainer; diagnostic detail","Ambiguous technical close-up preserved and flagged for subject-matter confirmation.","No exact duplicate found","65B5F2950583C1D4147B5FC6171C7FA1144BB508DA200DDEB79839ACBDC6A25D"
"GB-COM-REP-001","4d1e9bec9554b249.webp","05-commercial-work/repairs/4d1e9bec9554b249.webp","commercial repair","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Technician using meter/gauges on rooftop package unit","Technician, possibly Chance Ferguson, unconfirmed","Commercial","Electrical/refrigeration diagnostics on rooftop unit","Exact commercial site unknown","Good displayed source; 765x1020","Commercial repair page; technician-at-work; rooftop capability","Identity is an inference from consistent appearance and must be confirmed before labeling publicly.","Likely same commercial rooftop job set as GB-COM-MNT-001, GB-TEAM-002, GB-VEH-001 and GB-COM-RTU-001","0AB62B9AECF2B2F5D9E77DE762AD63093413667D1DF022BFFD2EE87D2EBA85C1"
"GB-RES-MNT-002","b7197758eb3a1bc2.webp","04-residential-work/maintenance/b7197758eb3a1bc2.webp","residential maintenance","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Exposed condenser coil covered with cleaning foam/soil","None","Residential","Deep condenser-coil cleaning","Exact site unknown","Good displayed source; 765x1020","Maintenance results/process; educational content","Source file preserved without extension as delivered.","Related maintenance/dirty-coil set: GB-RES-MNT-001 and GB-EQP-003; exact job linkage visually plausible, not confirmed","6449914533926B3208DBD5F351C7D93420574C7260664EFF292679AE2FBBB477"
"GB-RES-INS-003","b25bedf34e3bb6d4.webp","04-residential-work/installations/b25bedf34e3bb6d4.webp","residential installation","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Completed Bryant outdoor condenser at brick-wall residence","None","Residential","Outdoor condenser installation / finished equipment","Exact site unknown","Good displayed source; 765x1020","Installation page; completed-work gallery; equipment proof","Source file preserved without extension as delivered.","Possibly same job as GB-RES-REP-001; before-after relationship not verified","6AF6F6B7911838C9279BFFBB789C5A0739468C3903FBA7522D59BFE8187D83A5"
"GB-EQP-002","6679fdcb075a0500.webp","06-equipment-closeups/6679fdcb075a0500.webp","equipment close-up","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Heavily soiled exposed condenser coil close-up","None","Residential","Dirty-coil diagnosis / maintenance need","Exact site unknown","Good displayed source; 765x1020","Maintenance education; problem/solution visual; possible before image","No paired after image is verified; do not present as before/after without owner confirmation.","Related maintenance/dirty-coil set: GB-RES-MNT-001 and GB-RES-MNT-002","073C272972BA30BEC9CD1768954EC2CC1B6FB99F1E4D91765DC09BB13F918921"
"GB-VEH-001","e1f2bf8d4b51adc0.webp","03-vehicles/e1f2bf8d4b51adc0.webp","vehicle","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Ford F-150 service truck with Ferguson & Sons door sign, ladders and rack","None","Commercial job context","Service vehicle / rooftop access","Exact site unknown","Good displayed source; 765x1020","Fleet/truck section; About page; local-service proof","License plate is visible; review privacy/retouch policy before public website use. Source original remains untouched.","Likely same commercial rooftop job set as GB-COM-MNT-001, GB-COM-REP-001, GB-TEAM-002 and GB-COM-RTU-001","EDE0AB3189A3053A23AD82DA42E4DE16008FC0ED2FDFDA2E70DA5E82347CDB44"
"GB-COM-RTU-001","cedb2ad2dc3cc4c8.webp","05-commercial-work/rooftop-units/cedb2ad2dc3cc4c8.webp","rooftop unit","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","York commercial rooftop package unit","None","Commercial","Rooftop-unit equipment/capability","Exact site unknown","Good displayed source; 765x1020","Commercial HVAC page; rooftop-unit capability; equipment gallery","Source file preserved without extension as delivered.","Likely same commercial rooftop job set as GB-COM-MNT-001, GB-COM-REP-001, GB-TEAM-002 and GB-VEH-001","EF0C41D656EDDE6872276D1104210FD9FA3C54618D8D21D94597B9C6089F2D56"
"GB-RES-INS-004","9c915630a30d6c63.webp","04-residential-work/installations/9c915630a30d6c63.webp","residential installation","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","New residential package unit/duct transition with technician visible","Young technician, unidentified","Residential","Package-unit installation / changeout","Exact site unknown","Good displayed source; 765x1020","Installation/changeout page; team-at-work; finished equipment","Source file preserved without extension as delivered.","Technician appears consistent with FB-RES-MNT-001 and FB-RES-MNT-002; identity unconfirmed","9CA13FECF54FEB794DEDC2044648C816D14578C301692DBD12088FA2192EC60A"
"GB-SOC-001","bbdb50b1e589e818.webp","09-social-graphics/bbdb50b1e589e818.webp","promotional portrait","WebP","816x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Highly stylized patriotic portrait with uniform name patch 'Chance' and HVAC gauges","Stylized/AI-composite likeness labeled Chance","Promotional","General HVAC branding","Synthetic/composite scene; location not factual","Good displayed source; 816x1020","Social campaign archive only; potential concept reference","FLAGGED: appears AI-generated or heavily composited. Do not treat as authentic documentary portrait or factual location/equipment scene without owner confirmation.","Related stylized promotional assets: GB-SOC-002, GB-SOC-003 and FB-SOC-001","FA1487679CA5A8B5200AEE7608FB8A44A061C43F02F37728E7DF08EEE205C81A"
"GB-TEAM-001","feac799cd5589242.webp","02-team/technicians/feac799cd5589242.webp","team / technicians","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Job-site selfie during residential package-unit installation","Chance Ferguson at front, inferred from consistent/labeled likeness; two unidentified technicians","Residential","Installation/changeout team at work","Exact site unknown","Good displayed source; 765x1020; authentic candid photo","About/team page; family-business story; installation service page","Chance identity is likely but should be confirmed; two other people need names/consent for public labeling.","Related technician imagery: GB-RES-INS-004, FB-RES-MNT-001 and FB-RES-MNT-002","D56C322F2F4CD218A8FBB3AAC32E59CBB8313B5CE047309E0BEB50BA25216A1C"
"GB-SOC-002","5fa82f65bffc8fa6.webp","09-social-graphics/5fa82f65bffc8fa6.webp","promotional graphic","WebP","937x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Humorous/composite technician and rooftop unit on the sun","Stylized/AI-composite male likeness; identity unconfirmed","Promotional","General HVAC heat-themed promotion","Synthetic/composite scene; location not factual","Good displayed source; 937x1020","Social campaign archive only; humorous content reference","FLAGGED: appears AI-generated or heavily composited. Not authentic work-site photography.","Related stylized promotional assets: GB-SOC-001, GB-SOC-003 and FB-SOC-001","990FCAA170A6E843D19001C2DDED579185FE9E1EC48EC8DAB9E10840B729C725"
"GB-TEAM-002","69357bf12fb9152f.webp","02-team/chance/69357bf12fb9152f.webp","Chance Ferguson","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Person waving from commercial rooftop edge","Chance Ferguson, probable but distant and unconfirmed","Commercial","Commercial rooftop work / local team presence","Exact commercial site unknown","Good displayed source; 765x1020; subject distant","About/owner story; commercial-service story; candid team image","Identity must be confirmed before public captioning.","Likely same commercial rooftop job set as GB-COM-MNT-001, GB-COM-REP-001, GB-VEH-001 and GB-COM-RTU-001","DFD90039B072A99F104098036FC2BE761ED61620E05EA3F7E7F1CF658CED0393"
"GB-SOC-003","7042b6a8e4f7323c.webp","09-social-graphics/7042b6a8e4f7323c.webp","promotional graphic photo","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Photograph of printed superhero-style Ferguson & Sons flyer on refrigerator","Superhero/promotional male likeness; likely Chance, unconfirmed","Promotional","General residential/commercial repair and maintenance promotion","Exact location unknown","Good displayed source; 765x1020","Campaign archive; grassroots/community-marketing story","FLAGGED: printed promo contains a synthetic/composited likeness and handwritten/printed claims; proofread and verify before reuse.","Related campaign style: FB-SOC-001; related stylized assets: GB-SOC-001 and GB-SOC-002","1D709E15B95759277C4483666FE964FBD9D5B200A0A9324FE1B1CDC54DB66EA0"
"FB-RES-INS-005","FB-RES-INS-005_725005678_122125030893229345.jpg","04-residential-work/installations/FB-RES-INS-005_725005678_122125030893229345.jpg","residential installation","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122125030755229345/","Post date not displayed; collected 2026-08-12","Residential replacement/changeout gallery; authentic job photo","None / identity not confirmed","Residential","HVAC replacement/changeout","Norfolk, VA (post tag)","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","52D75D1BAD02CC47D9EB5DA6BEF6D70B48DD6EBE96A881B2BC947F40D1CE300C"
"FB-RES-INS-006","FB-RES-INS-006_727449552_122125030911229345.jpg","04-residential-work/installations/FB-RES-INS-006_727449552_122125030911229345.jpg","residential installation","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122125030755229345/","Post date not displayed; collected 2026-08-12","Residential replacement/changeout gallery; authentic job photo","None / identity not confirmed","Residential","HVAC replacement/changeout","Norfolk, VA (post tag)","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","8C768A32B5A0449B80BBCE4EEB25289AD695DDFC533E911593291F1554251D93"
"FB-RES-INS-007","FB-RES-INS-007_724033960_122125030935229345.jpg","04-residential-work/installations/FB-RES-INS-007_724033960_122125030935229345.jpg","residential installation","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122125030755229345/","Post date not displayed; collected 2026-08-12","Residential replacement/changeout gallery; authentic job photo","None / identity not confirmed","Residential","HVAC replacement/changeout","Norfolk, VA (post tag)","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","F3A2A19C0287DC5BA85F3A5FB1F160B547FFF1FD6134781BA6EF1F077E07B17D"
"FB-RES-INS-008","FB-RES-INS-008_727671491_122125030923229345.jpg","04-residential-work/installations/FB-RES-INS-008_727671491_122125030923229345.jpg","residential installation","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122125030755229345/","Post date not displayed; collected 2026-08-12","Residential replacement/changeout gallery; authentic job photo","None / identity not confirmed","Residential","HVAC replacement/changeout","Norfolk, VA (post tag)","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","C333A3322E43BABF964E4B319BD8CE9A38A2BAA0F70A7328EE09FC5AE4B1103A"
"FB-RES-REP-003","FB-RES-REP-003_745690224_122127431211229345.jpg","04-residential-work/repairs/FB-RES-REP-003_745690224_122127431211229345.jpg","residential repair","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122127431055229345/","Post date not displayed; collected 2026-08-12","1986 Trane no-cooling/capacitor diagnostic gallery; authentic job photo","None / identity not confirmed","Residential","No-cooling diagnostic; capacitor/compressor","Not stated","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","F97B296B935D45F73332A36B6182E55C2F62CBDCD96B9D22371EF63EDAC546F3"
"FB-EQP-002","FB-EQP-002_745699790_122127431235229345.jpg","06-equipment-closeups/FB-EQP-002_745699790_122127431235229345.jpg","equipment close-up","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122127431055229345/","Post date not displayed; collected 2026-08-12","1986 Trane diagnostic gallery; authentic job photo","None / identity not confirmed","Residential","Capacitor/compressor diagnostic","Not stated","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","8E3E17962956BC98F44A86A9A512E07EFB3456512EA86C50E2EEF1B42E45CB15"
"FB-EQP-003","FB-EQP-003_744858729_122127431199229345.jpg","06-equipment-closeups/FB-EQP-003_744858729_122127431199229345.jpg","equipment close-up","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122127431055229345/","Post date not displayed; collected 2026-08-12","1986 Trane diagnostic gallery; authentic job photo","None / identity not confirmed","Residential","Capacitor/compressor diagnostic","Not stated","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","0C975D586BF6E5E02D6BDFA61FD040D70F44AC0A316C836162C2238E53F37496"
"FB-RES-REP-004","FB-RES-REP-004_745686442_122127431223229345.jpg","04-residential-work/repairs/FB-RES-REP-004_745686442_122127431223229345.jpg","residential repair","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122127431055229345/","Post date not displayed; collected 2026-08-12","1986 Trane diagnostic gallery; authentic job photo","None / identity not confirmed","Residential","No-cooling diagnostic","Not stated","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","08ED169F81B9D0C042F05267DD30F4333A8CB56F0AD0A08809C8A902664464EB"
"FB-RES-MNT-006","FB-RES-MNT-003_749301097_122127861375229345.jpg","04-residential-work/maintenance/FB-RES-MNT-003_749301097_122127861375229345.jpg","residential maintenance","JPEG","1536x2048","Facebook post, signed-in session","https://www.facebook.com/61586880370088/posts/122127861267229345/","Post date not displayed; collected 2026-08-12","Professional cleaning/no-cool gallery; authentic job photo","None / identity not confirmed","Residential","Condenser/coil cleaning","Chesapeake, VA (post tag)","Very good; original full-size","Authentic service/work proof; future selection pending","Original Facebook JPEG preserved untouched; source filename retained in local filename.","No exact duplicate found in existing archive","C764D65A81E215C367CD7763A86EC50EF27DF360A038385313DFF6D01D9F3C24"
